Partlist

Exported from Tommy.sch at 11/21/2013 11:01:43 AM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part            Value                Device                          Package                Library              Sheet

ANALOG_0                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_1                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_2                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
ANALOG_3                             PH_1X03HEADER_PTH               HEADER_01X03_PTH       PP_Connectors        1
R153            180                  RESISTOR0402                    0402                   PP_Passives          1
R154            180                  RESISTOR0402                    0402                   PP_Passives          1
R155            100                  RESISTOR0402                    0402                   PP_Passives          1
R156            100                  RESISTOR0402                    0402                   PP_Passives          1
R157            100                  RESISTOR0402                    0402                   PP_Passives          1
R158            100                  RESISTOR0402                    0402                   PP_Passives          1
R159            180                  RESISTOR0402                    0402                   PP_Passives          1
R160            180                  RESISTOR0402                    0402                   PP_Passives          1
R161            180                  RESISTOR0402                    0402                   PP_Passives          1
R162            180                  RESISTOR0402                    0402                   PP_Passives          1
R163            100                  RESISTOR0402                    0402                   PP_Passives          1
R164            100                  RESISTOR0402                    0402                   PP_Passives          1
R165            100                  RESISTOR0402                    0402                   PP_Passives          1
R166            100                  RESISTOR0402                    0402                   PP_Passives          1
R167            180                  RESISTOR0402                    0402                   PP_Passives          1
R168            180                  RESISTOR0402                    0402                   PP_Passives          1
R169            180                  RESISTOR0402                    0402                   PP_Passives          1
R170            180                  RESISTOR0402                    0402                   PP_Passives          1
R171            100                  RESISTOR0402                    0402                   PP_Passives          1
R172            100                  RESISTOR0402                    0402                   PP_Passives          1
R173            100                  RESISTOR0402                    0402                   PP_Passives          1
R174            100                  RESISTOR0402                    0402                   PP_Passives          1
R175            1.25K                RESISTOR0402                    0402                   PP_Passives          1
R176            10K                  RESISTOR0402                    0402                   PP_Passives          1
R177            1K                   RESISTOR0402                    0402                   PP_Passives          1
R178            1K                   RESISTOR0402                    0402                   PP_Passives          1
R179            10K                  RESISTOR0402                    0402                   PP_Passives          1
R180            22                   RESISTOR0402                    0402                   PP_Passives          1
R181            22                   RESISTOR0402                    0402                   PP_Passives          1
R182            0                    RESISTOR0402                    0402                   PP_Passives          1
R183            0                    RESISTOR0402                    0402                   PP_Passives          1
R186            330                  RESISTOR0402                    0402                   PP_Passives          1
R187            330                  RESISTOR0402                    0402                   PP_Passives          1
R188            1K                   RESISTOR0402                    0402                   PP_Passives          1
R189            10K                  RESISTOR0402                    0402                   PP_Passives          1
RESET           101-0134-EV          SPST101-0134-EV                 101-0134-EV            PP_Electromechanical 1
RGB_CONN                             PH_1X04HEADER_PTH_ROUND         HEADER_01X04_PTH_ROUND PP_Connectors        1
S0              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S1              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S2              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S3              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S4              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S5              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S6              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S7              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
S8              RFP12N10L            MOSFET_N-CHANNEL_SINGLETO-220AB TO-220AB               PP_DiscreteSemi      1
